"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","Create file","LMS service","Sat Mar 14 16:09:25 UTC 2026","passed","Sat Mar 14 16:09:25 UTC 2026","Create entity","Files","",""
"","294","Delete exercise","LMS service","Sat Mar 14 16:09:24 UTC 2026","passed","Sat Mar 14 16:09:24 UTC 2026","Delete entity","Exercises","",""
"","496","Create user","LMS service","Sat Mar 14 16:09:28 UTC 2026","passed","Sat Mar 14 16:09:28 UTC 2026","Create entity","Users","",""
"","29","Create course","LMS service","Sat Mar 14 16:09:22 UTC 2026","passed","Sat Mar 14 16:09:22 UTC 2026","Create entity","Courses","",""
"","295","Create exercise","LMS service","Sat Mar 14 16:09:22 UTC 2026","passed","Sat Mar 14 16:09:23 UTC 2026","Create entity","Exercises","",""
"","299","Update course","LMS service","Sat Mar 14 16:09:21 UTC 2026","passed","Sat Mar 14 16:09:21 UTC 2026","Update entity","Courses","",""
"","22","Update exercise","LMS service","Sat Mar 14 16:09:23 UTC 2026","passed","Sat Mar 14 16:09:23 UTC 2026","Update entity","Exercises","",""
"","24","Delete file","LMS service","Sat Mar 14 16:09:28 UTC 2026","passed","Sat Mar 14 16:09:28 UTC 2026","Delete entity","Files","",""
"","37","Create file with empty filename","LMS service","Sat Mar 14 16:09:27 UTC 2026","passed","Sat Mar 14 16:09:27 UTC 2026","Validate entity","Files","",""
"","15","Get file","LMS service","Sat Mar 14 16:09:27 UTC 2026","passed","Sat Mar 14 16:09:27 UTC 2026","Get entity","Files","",""
"","531","Create user","LMS service","Sat Mar 14 16:09:28 UTC 2026","passed","Sat Mar 14 16:09:29 UTC 2026","Create entity","Users","",""
"","288","Login with correct email and password","LMS service","Sat Mar 14 16:09:20 UTC 2026","passed","Sat Mar 14 16:09:20 UTC 2026","Login","Authentication","",""
"","18","Get exercise","LMS service","Sat Mar 14 16:09:24 UTC 2026","passed","Sat Mar 14 16:09:24 UTC 2026","Get entity","Exercises","",""
"","14","Get user me","LMS service","Sat Mar 14 16:09:30 UTC 2026","passed","Sat Mar 14 16:09:30 UTC 2026","Get entity","Users","",""
"","568","Create user","LMS service","Sat Mar 14 16:09:29 UTC 2026","passed","Sat Mar 14 16:09:30 UTC 2026","Create entity","Users","",""
"","270","Create file with empty directory","LMS service","Sat Mar 14 16:09:27 UTC 2026","passed","Sat Mar 14 16:09:28 UTC 2026","Validate entity","Files","",""
"","19","Get exercises","LMS service","Sat Mar 14 16:09:25 UTC 2026","passed","Sat Mar 14 16:09:25 UTC 2026","Get entities","Exercises","",""
"","302","Get courses","LMS service","Sat Mar 14 16:09:21 UTC 2026","passed","Sat Mar 14 16:09:21 UTC 2026","Get entities","Courses","",""
"","268","Get file with incorrect file id","LMS service","Sat Mar 14 16:09:29 UTC 2026","passed","Sat Mar 14 16:09:29 UTC 2026","Validate entity","Files","",""
