"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get file","LMS service","Fri Feb 27 14:26:53 UTC 2026","passed","Fri Feb 27 14:26:53 UTC 2026","Get entity","Files","",""
"","26","Update exercise","LMS service","Fri Feb 27 14:26:50 UTC 2026","passed","Fri Feb 27 14:26:50 UTC 2026","Update entity","Exercises","",""
"","268","Create file","LMS service","Fri Feb 27 14:26:52 UTC 2026","passed","Fri Feb 27 14:26:53 UTC 2026","Create entity","Files","",""
"","24","Delete exercise","LMS service","Fri Feb 27 14:26:51 UTC 2026","passed","Fri Feb 27 14:26:51 UTC 2026","Delete entity","Exercises","",""
"","302","Update course","LMS service","Fri Feb 27 14:26:47 UTC 2026","passed","Fri Feb 27 14:26:48 UTC 2026","Update entity","Courses","",""
"","15","Get exercise","LMS service","Fri Feb 27 14:26:50 UTC 2026","passed","Fri Feb 27 14:26:50 UTC 2026","Get entity","Exercises","",""
"","19","Create exercise","LMS service","Fri Feb 27 14:26:49 UTC 2026","passed","Fri Feb 27 14:26:49 UTC 2026","Create entity","Exercises","",""
"","19","Get file with incorrect file id","LMS service","Fri Feb 27 14:26:55 UTC 2026","passed","Fri Feb 27 14:26:55 UTC 2026","Validate entity","Files","",""
"","26","Create course","LMS service","Fri Feb 27 14:26:49 UTC 2026","passed","Fri Feb 27 14:26:49 UTC 2026","Create entity","Courses","",""
"","553","Login with correct email and password","LMS service","Fri Feb 27 14:26:46 UTC 2026","passed","Fri Feb 27 14:26:47 UTC 2026","Login","Authentication","",""
"","26","Get courses","LMS service","Fri Feb 27 14:26:48 UTC 2026","passed","Fri Feb 27 14:26:48 UTC 2026","Get entities","Courses","",""
"","16","Get exercises","LMS service","Fri Feb 27 14:26:51 UTC 2026","passed","Fri Feb 27 14:26:51 UTC 2026","Get entities","Exercises","",""
"","287","Create user","LMS service","Fri Feb 27 14:26:55 UTC 2026","passed","Fri Feb 27 14:26:55 UTC 2026","Create entity","Users","",""
"","268","Create file with empty filename","LMS service","Fri Feb 27 14:26:53 UTC 2026","passed","Fri Feb 27 14:26:54 UTC 2026","Validate entity","Files","",""
"","25","Delete file","LMS service","Fri Feb 27 14:26:55 UTC 2026","passed","Fri Feb 27 14:26:55 UTC 2026","Delete entity","Files","",""
"","537","Create user","LMS service","Fri Feb 27 14:26:55 UTC 2026","passed","Fri Feb 27 14:26:56 UTC 2026","Create entity","Users","",""
"","33","Create file with empty directory","LMS service","Fri Feb 27 14:26:54 UTC 2026","passed","Fri Feb 27 14:26:54 UTC 2026","Validate entity","Files","",""
"","531","Create user","LMS service","Fri Feb 27 14:26:55 UTC 2026","passed","Fri Feb 27 14:26:56 UTC 2026","Create entity","Users","",""
"","14","Get user me","LMS service","Fri Feb 27 14:26:56 UTC 2026","passed","Fri Feb 27 14:26:56 UTC 2026","Get entity","Users","",""
