"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Get file","LMS service","Sat Mar 14 15:54:13 UTC 2026","passed","Sat Mar 14 15:54:13 UTC 2026","Get entity","Files","",""
"","553","Login with correct email and password","LMS service","Sat Mar 14 15:54:06 UTC 2026","passed","Sat Mar 14 15:54:07 UTC 2026","Login","Authentication","",""
"","525","Create user","LMS service","Sat Mar 14 15:54:15 UTC 2026","passed","Sat Mar 14 15:54:15 UTC 2026","Create entity","Users","",""
"","19","Update exercise","LMS service","Sat Mar 14 15:54:09 UTC 2026","passed","Sat Mar 14 15:54:09 UTC 2026","Update entity","Exercises","",""
"","539","Create user","LMS service","Sat Mar 14 15:54:14 UTC 2026","passed","Sat Mar 14 15:54:15 UTC 2026","Create entity","Users","",""
"","12","Get user me","LMS service","Sat Mar 14 15:54:16 UTC 2026","passed","Sat Mar 14 15:54:16 UTC 2026","Get entity","Users","",""
"","267","Get file with incorrect file id","LMS service","Sat Mar 14 15:54:15 UTC 2026","passed","Sat Mar 14 15:54:15 UTC 2026","Validate entity","Files","",""
"","31","Create course","LMS service","Sat Mar 14 15:54:08 UTC 2026","passed","Sat Mar 14 15:54:08 UTC 2026","Create entity","Courses","",""
"","299","Update course","LMS service","Sat Mar 14 15:54:07 UTC 2026","passed","Sat Mar 14 15:54:07 UTC 2026","Update entity","Courses","",""
"","555","Create user","LMS service","Sat Mar 14 15:54:16 UTC 2026","passed","Sat Mar 14 15:54:16 UTC 2026","Create entity","Users","",""
"","21","Delete file","LMS service","Sat Mar 14 15:54:14 UTC 2026","passed","Sat Mar 14 15:54:14 UTC 2026","Delete entity","Files","",""
"","27","Get exercises","LMS service","Sat Mar 14 15:54:12 UTC 2026","passed","Sat Mar 14 15:54:12 UTC 2026","Get entities","Exercises","",""
"","27","Create exercise","LMS service","Sat Mar 14 15:54:09 UTC 2026","passed","Sat Mar 14 15:54:09 UTC 2026","Create entity","Exercises","",""
"","35","Create file with empty directory","LMS service","Sat Mar 14 15:54:14 UTC 2026","passed","Sat Mar 14 15:54:14 UTC 2026","Validate entity","Files","",""
"","297","Get courses","LMS service","Sat Mar 14 15:54:08 UTC 2026","passed","Sat Mar 14 15:54:08 UTC 2026","Get entities","Courses","",""
"","19","Delete exercise","LMS service","Sat Mar 14 15:54:11 UTC 2026","passed","Sat Mar 14 15:54:11 UTC 2026","Delete entity","Exercises","",""
"","262","Create file with empty filename","LMS service","Sat Mar 14 15:54:13 UTC 2026","passed","Sat Mar 14 15:54:13 UTC 2026","Validate entity","Files","",""
"","43","Create file","LMS service","Sat Mar 14 15:54:12 UTC 2026","passed","Sat Mar 14 15:54:12 UTC 2026","Create entity","Files","",""
"","24","Get exercise","LMS service","Sat Mar 14 15:54:11 UTC 2026","passed","Sat Mar 14 15:54:11 UTC 2026","Get entity","Exercises","",""
