"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","294","Delete file","LMS service","Sat Mar 14 15:53:15 UTC 2026","passed","Sat Mar 14 15:53:16 UTC 2026","Delete entity","Files","",""
"","273","Get file with incorrect file id","LMS service","Sat Mar 14 15:53:16 UTC 2026","passed","Sat Mar 14 15:53:16 UTC 2026","Validate entity","Files","",""
"","288","Create user","LMS service","Sat Mar 14 15:53:16 UTC 2026","passed","Sat Mar 14 15:53:17 UTC 2026","Create entity","Users","",""
"","16","Get file","LMS service","Sat Mar 14 15:53:14 UTC 2026","passed","Sat Mar 14 15:53:14 UTC 2026","Get entity","Files","",""
"","13","Get user me","LMS service","Sat Mar 14 15:53:18 UTC 2026","passed","Sat Mar 14 15:53:18 UTC 2026","Get entity","Users","",""
"","21","Update exercise","LMS service","Sat Mar 14 15:53:11 UTC 2026","passed","Sat Mar 14 15:53:11 UTC 2026","Update entity","Exercises","",""
"","31","Create course","LMS service","Sat Mar 14 15:53:09 UTC 2026","passed","Sat Mar 14 15:53:09 UTC 2026","Create entity","Courses","",""
"","33","Get exercises","LMS service","Sat Mar 14 15:53:13 UTC 2026","passed","Sat Mar 14 15:53:13 UTC 2026","Get entities","Exercises","",""
"","554","Create user","LMS service","Sat Mar 14 15:53:16 UTC 2026","passed","Sat Mar 14 15:53:17 UTC 2026","Create entity","Users","",""
"","27","Get exercise","LMS service","Sat Mar 14 15:53:12 UTC 2026","passed","Sat Mar 14 15:53:12 UTC 2026","Get entity","Exercises","",""
"","25","Create exercise","LMS service","Sat Mar 14 15:53:11 UTC 2026","passed","Sat Mar 14 15:53:11 UTC 2026","Create entity","Exercises","",""
"","302","Update course","LMS service","Sat Mar 14 15:53:08 UTC 2026","passed","Sat Mar 14 15:53:08 UTC 2026","Update entity","Courses","",""
"","558","Login with correct email and password","LMS service","Sat Mar 14 15:53:08 UTC 2026","passed","Sat Mar 14 15:53:08 UTC 2026","Login","Authentication","",""
"","270","Create file with empty directory","LMS service","Sat Mar 14 15:53:15 UTC 2026","passed","Sat Mar 14 15:53:15 UTC 2026","Validate entity","Files","",""
"","532","Create user","LMS service","Sat Mar 14 15:53:16 UTC 2026","passed","Sat Mar 14 15:53:16 UTC 2026","Create entity","Users","",""
"","262","Create file with empty filename","LMS service","Sat Mar 14 15:53:14 UTC 2026","passed","Sat Mar 14 15:53:14 UTC 2026","Validate entity","Files","",""
"","299","Get courses","LMS service","Sat Mar 14 15:53:09 UTC 2026","passed","Sat Mar 14 15:53:09 UTC 2026","Get entities","Courses","",""
"","47","Create file","LMS service","Sat Mar 14 15:53:13 UTC 2026","passed","Sat Mar 14 15:53:13 UTC 2026","Create entity","Files","",""
"","18","Delete exercise","LMS service","Sat Mar 14 15:53:12 UTC 2026","passed","Sat Mar 14 15:53:12 UTC 2026","Delete entity","Exercises","",""
