"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Create exercise","LMS service","Sun Mar 22 14:43:48 UTC 2026","passed","Sun Mar 22 14:43:48 UTC 2026","Create entity","Exercises","",""
"","17","Get exercise","LMS service","Sun Mar 22 14:43:50 UTC 2026","passed","Sun Mar 22 14:43:50 UTC 2026","Get entity","Exercises","",""
"","274","Create file","LMS service","Sun Mar 22 14:43:52 UTC 2026","passed","Sun Mar 22 14:43:52 UTC 2026","Create entity","Files","",""
"","530","Create user","LMS service","Sun Mar 22 14:43:55 UTC 2026","passed","Sun Mar 22 14:43:55 UTC 2026","Create entity","Users","",""
"","300","Update course","LMS service","Sun Mar 22 14:43:47 UTC 2026","passed","Sun Mar 22 14:43:47 UTC 2026","Update entity","Courses","",""
"","25","Delete file","LMS service","Sun Mar 22 14:43:54 UTC 2026","passed","Sun Mar 22 14:43:54 UTC 2026","Delete entity","Files","",""
"","37","Create file with empty directory","LMS service","Sun Mar 22 14:43:53 UTC 2026","passed","Sun Mar 22 14:43:53 UTC 2026","Validate entity","Files","",""
"","18","Get file with incorrect file id","LMS service","Sun Mar 22 14:43:54 UTC 2026","passed","Sun Mar 22 14:43:54 UTC 2026","Validate entity","Files","",""
"","291","Create user","LMS service","Sun Mar 22 14:43:54 UTC 2026","passed","Sun Mar 22 14:43:55 UTC 2026","Create entity","Users","",""
"","274","Create file with empty filename","LMS service","Sun Mar 22 14:43:53 UTC 2026","passed","Sun Mar 22 14:43:53 UTC 2026","Validate entity","Files","",""
"","27","Update exercise","LMS service","Sun Mar 22 14:43:49 UTC 2026","passed","Sun Mar 22 14:43:49 UTC 2026","Update entity","Exercises","",""
"","32","Create course","LMS service","Sun Mar 22 14:43:48 UTC 2026","passed","Sun Mar 22 14:43:48 UTC 2026","Create entity","Courses","",""
"","34","Get courses","LMS service","Sun Mar 22 14:43:47 UTC 2026","passed","Sun Mar 22 14:43:47 UTC 2026","Get entities","Courses","",""
"","16","Get file","LMS service","Sun Mar 22 14:43:52 UTC 2026","passed","Sun Mar 22 14:43:52 UTC 2026","Get entity","Files","",""
"","285","Login with correct email and password","LMS service","Sun Mar 22 14:43:46 UTC 2026","passed","Sun Mar 22 14:43:46 UTC 2026","Login","Authentication","",""
"","17","Get exercises","LMS service","Sun Mar 22 14:43:51 UTC 2026","passed","Sun Mar 22 14:43:51 UTC 2026","Get entities","Exercises","",""
"","549","Create user","LMS service","Sun Mar 22 14:43:54 UTC 2026","passed","Sun Mar 22 14:43:55 UTC 2026","Create entity","Users","",""
"","14","Get user me","LMS service","Sun Mar 22 14:43:56 UTC 2026","passed","Sun Mar 22 14:43:56 UTC 2026","Get entity","Users","",""
"","36","Delete exercise","LMS service","Sun Mar 22 14:43:51 UTC 2026","passed","Sun Mar 22 14:43:51 UTC 2026","Delete entity","Exercises","",""
